Codigo_ruta;Tipo Dia;H_ Inicio Operaci?_1;H_ Fin  Operaci?_1
4 - Portal Sur;Sabado;5:00:00;23:00:00
4 - Portal Sur;Festivo;5:30:00;22:35:00
4 - Heroes;Habil;4:00:00;23:00:00
4 - Heroes;Sabado;4:30:00;23:00:00
4 - Heroes;Festivo;5:00:00;22:00:00
7 Portal Suba;Habil;4:30:00;23:00:00
7 Portal Suba;Sabado;5:00:00;23:00:00
7 Portal Suba;Festivo;5:30:00;22:00:00
7 Ricaurte;Habil;4:30:00;23:00:00
7 Ricaurte;Sabado;5:00:00;23:00:00
7 Ricaurte;Festivo;5:30:00;22:00:00
K16 P. ELDORADO;Habil;5:30:00;22:30:00
B16 TERMINAL;Habil;5:30:00;22:30:00
G11 P. Sur;Habil;6:00:00;22:00:00
G11 P. Sur;Sabado;6:30:00;22:00:00
B11 Terminal;Habil;5:30:00;21:00:00
B11 Terminal;Sabado;6:00:00;21:30:00
G22 PORTAL 80 BI;Habil;5:00:00;23:00:00
G22 PORTAL 80 BI;Sabado;5:00:00;23:00:00
G22 PORTAL 80 BI;Festivo;5:30:00;22:00:00
D22 PORTAL 80 BI;Habil;5:00:00;23:00:00
D22 PORTAL 80 BI;Sabado;5:00:00;23:00:00
D22 PORTAL 80 BI;Festivo;5:30:00;22:00:00
5_1;Habil;4:30:00;0:20:00
5_1;Sabado;5:00:00;0:20:00
5_1;Festivo;5:30:00;23:20:00
16_5;Habil;4:30:00;0:20:00
16_5;Sabado;5:00:00;0:20:00
16_5;Festivo;5:30:00;23:20:00
11_10;Habil;4:30:00;0:30:00
11_10;Sabado;5:00:00;0:30:00
11_10;Festivo;5:30:00;23:30:00
11_9;Habil;4:30:00;0:30:00
11_9;Sabado;5:00:00;0:30:00
11_9;Festivo;5:30:00;0:30:00
11_8;Habil;4:30:00;8:30:00
11_8;Sabado;5:30:00;8:30:00
11_7;Habil;4:30:00;0:30:00
11_7;Sabado;5:00:00;0:30:00
11_7;Festivo;5:00:00;0:30:00
11_6;Habil;4:30:00;0:30:00
11_6;Sabado;5:00:00;0:30:00
11_6;Festivo;5:00:00;0:30:00
11_5;Habil;4:30:00;0:30:00
11_5;Sabado;5:00:00;0:30:00
11_5;Festivo;5:00:00;0:30:00
11_4;Habil;4:30:00;0:30:00
11_4;Sabado;5:00:00;0:30:00
11_4;Festivo;5:00:00;0:30:00
11_3;Habil;4:30:00;0:30:00
11_3;Sabado;5:00:00;0:20:00
11_3;Festivo;5:30:00;23:30:00
11_2;Habil;4:30:00;8:30:00
11_2;Sabado;6:00:00;8:30:00
11_1;Habil;4:30:00;22:30:00
L82 Portal 20 de Julio;Habil;6:00:00;22:00:00
M82 Clinica el Bosque;Habil;4:30:00;23:00:00
L82 Portal 20 de Julio;Sabado;6:00:00;22:00:00
M82 Clinica el Bosque;Sabado;5:00:00;23:00:00
L82 Portal 20 de Julio;Festivo;7:00:00;22:00:00
M82 Clinica el Bosque;Habil;6:00:00;21:00:00
1_1;Habil;4:30:00;0:30:00
1_1;Sabado;5:00:00;0:30:00
1_1;Festivo;5:30:00;23:30:00
J73 UNIVERSIDADES;Habil;5:30:00;9:00:00
H15 PORTAL TUNAL;Habil;5:00:00;23:00:00
H15 PORTAL TUNAL;Sabado;5:00:00;23:00:00
H15 PORTAL TUNAL;Festivo;5:30:00;22:00:00
J24 UNIVERSIDADES;Habil;5:30:00;22:00:00
J24 UNIVERSIDADES;Sabado;5:30:00;20:30:00
5 P. Americas;Habil;4:30:00;23:30:00
5 P. Americas;Sabado;5:00:00;23:30:00
5 P. Americas;Festivo;5:30:00;22:35:00
5 Calle 22;Habil;4:00:00;23:00:00
5 Calle 22;Sabado;4:30:00;23:00:00
5 Calle 22;Festivo;5:00:00;22:00:00
3 Portal Usme;Habil;4:30:00;23:30:00
3 Portal Usme;Sabado;5:00:00;23:30:00
3 Portal Usme;Festivo;5:30:00;22:00:00
3 Plaza de la Democracia;Habil;4:00:00;23:00:00
3 Plaza de la Democracia;Sabado;5:00:00;23:00:00
